# PROVENANCE -- reproducible from the original with tools/fielddata/extract_ride_fixture.py
#   source file    i188577527.fit (not committed: carries GPS and heart rate)
#   device         garmin_product 4440, firmware 32.2; recorded on 2026-09-20 (date only: the start
#                  time is dropped so relative seconds cannot be turned into clock times)
#   ours           developer_data_index 3, application_id 24ec02815a2643ac8e47d1f1bc7bceb4 (manifest id is fc13e61e7ca54c998c7a7c64f0ef4434)
#   CRC            verified by fitparse check_crc=True
#   values         record messages (FIT global 20) in file order; t = seconds since the
#                  first record; power = native field 7 (W); PCr_J / GLY_J = this app's
#                  developer fields 0 / 1, float32, written with 9 significant digits
#                  (exact round-trip)
#   absence        an EMPTY cell means the field was absent from that record; 0 W is a
#                  real power reading. Record fields latch (FACTS.md 3.3), so a repeated
#                  value can be a steady state or a re-emitted one.
#   columns        read BY NAME; a loader must refuse a row whose cell count differs
#                  from the header's.
#   cross-checks   records 11903; first PCr_J 5368, GLY_J 16104; last t 15140
t,power,PCr_J,GLY_J
452,95,4511.09912,14089.3564
453,44,4528.98193,14092.6885
454,275,4552.12158,14096.4053
455,465,4486.5293,14062.96
456,437,4303.24414,13960.2109
457,503,4187.93945,13819.959
458,481,4041.49072,13648.541
459,492,3933.87695,13463.3027
460,510,3830.24634,13264.541
461,493,3727.38013,13050.1582
462,486,3635.11597,12844.9102
463,511,3548.84253,12642.7188
464,567,3458.48901,12421.8604
465,580,3355.06689,12160.2354
466,524,3250.68628,11888.6494
467,431,3163.88086,11657.4863
468,224,3103.83667,11494.4824
469,317,3112.10278,11499.0225
470,260,3080.80298,11423.7227
471,156,3067.10669,11389.5225
472,103,3093.82715,11395.9336
473,78,3134.42603,11403.5703
474,95,3180.73462,11411.6631
475,107,3221.8208,11419.4307
476,120,3259.12256,11426.9385
477,123,3292.59888,11434.1582
478,116,3324.75708,11441.2852
479,116,3358.17065,11448.5713
480,115,3390.94971,11455.8242
481,119,3423.59546,11463.124
482,122,3454.70142,11470.3027
483,129,3484.58374,11477.3896
484,137,3512.54102,11484.3291
485,115,3538.31592,11491.0674
486,80,3568.44971,11498.2832
487,64,3605.50659,11506.1846
488,82,3645.2085,11514.3682
489,95,3680.4043,11522.2285
490,99,3712.17432,11529.7979
491,102,3742.63574,11537.291
492,123,3771.99902,11544.7188
493,142,3796.85693,11551.6846
494,163,3817.79028,11558.2021
495,172,3834.61035,11564.207
496,158,3849.66821,11570
497,162,3867.0625,11576.1172
498,183,3883.53613,11582.123
499,194,3896.15283,11587.6016
500,182,3906.78467,11592.8135
501,169,3919.3938,11598.3096
502,137,3934.12329,11604.1211
503,138,3954.13232,11610.6846
504,148,3973.68066,11617.209
505,171,3991.3501,11623.5059
506,157,4005.00854,11629.2246
507,140,4020.83545,11635.292
508,140,4036.4668,11641.3447
509,150,4054.61865,11647.792
510,154,4070.93799,11653.9873
511,154,4087.07422,11660.1797
512,163,4102.42139,11666.2764
513,169,4116.22314,11672.1445
514,168,4128.97461,11677.8555
515,156,4141.7583,11683.5889
516,157,4156.17236,11689.6064
517,181,4170.24854,11695.5801
518,200,4180.7666,11700.9756
519,201,4188.50928,11705.8945
520,194,4196.08545,11710.7979
521,208,4204.58203,11715.8623
522,224,4211.06299,11720.5635
523,211,4215.32715,11724.8848
524,184,4221.34668,11729.5078
525,160,4231.02051,11734.7891
526,154,4243.85742,11740.6367
527,146,4257.36768,11746.6221
528,142,4271.76172,11752.7764
529,142,4286.49414,11759.0117
530,148,4301.03174,11765.2383
531,162,4314.61572,11771.3213
532,162,4326.26318,11777.0684
533,150,4337.7959,11782.8135
534,122,4350.67529,11788.8262
535,136,4366.78906,11795.4395
536,131,4380.99561,11801.752
537,123,4395.57861,11808.1562
538,67,4410.87646,11814.7188
539,140,4432.30615,11822.291
540,135,4445.1499,11828.4766
541,136,4458.3584,11834.7559
542,133,4471.25977,11840.998
543,125,4484.31494,11847.3018
544,119,4498.02686,11853.7637
545,118,4512.15234,11860.3379
546,125,4526.16797,11866.9287
547,108,4539.22754,11873.3545
548,83,4553.79785,11880.1221
549,70,4570.53418,11887.3252
550,63,4588.15283,11894.7217
551,68,4606.05713,11902.2207
552,89,4623.08301,11909.6221
553,245,4637.89258,11916.6787
554,293,4638.76562,11920.3223
555,182,4566.90576,11887.2266
556,75,4573.91016,11892.374
557,84,4591.00049,11899.6885
558,104,4606.87549,11906.834
559,124,4620.63818,11913.624
560,117,4632.34229,11919.999
561,111,4644.49365,11926.5107
562,119,4656.9668,11933.1289
563,137,4668.54688,11939.5811
564,156,4678.43311,11945.6553
565,157,4686.62012,11951.3154
566,152,4694.62207,11956.9404
567,147,4702.93555,11962.668
568,140,4711.52979,11968.4844
569,133,4720.60059,11974.4648
570,152,4730.05518,11980.5586
571,188,4737.95361,11986.2646
572,228,4743.00928,11991.1348
573,242,4745.03857,11995.1025
574,223,4746.00977,11998.7441
575,174,4748.40186,12002.8135
576,126,4754.42822,12007.9912
577,146,4763.93408,12014.1895
578,176,4771.84375,12019.9658
579,180,4777.49707,12025.0723
580,183,4782.81934,12030.0869
581,180,4787.88867,12035.0332
582,198,4793.10889,12040.0254
583,186,4797.05322,12044.6201
584,203,4801.7959,12049.4805
585,220,4805.3374,12053.9463
586,213,4807.70459,12058.0205
587,186,4810.5332,12062.2471
588,169,4815.17139,12067.0918
589,174,4820.88867,12072.2939
590,180,4826.22412,12077.3838
591,180,4831.50342,12082.4619
592,180,4836.7373,12087.5391
593,214,4841.54688,12092.4873
594,209,4844.14502,12096.6562
595,190,4847.04883,12100.9355
596,203,4851.13428,12105.6396
597,213,4854.37109,12110.0391
598,198,4856.96973,12114.2119
599,175,4860.48584,12118.7227
600,148,4865.3877,12123.7373
601,130,4871.87549,12129.3174
602,120,4879.35107,12135.248
603,128,4887.3125,12141.3682
604,120,4894.66748,12147.3135
605,49,4902.39844,12153.4277
606,7,4913.98242,12160.6572
607,195,4927.58496,12168.3496
608,318,4930.77832,12172.8604
609,269,4844.05176,12132.9131
610,170,4803.42578,12098.3623
611,170,4770.02051,12058.9189
612,158,4776.13672,12064.1143
613,149,4783.04639,12069.5645
614,181,4790.49609,12075.1885
615,224,4795.65186,12080.1289
616,176,4797.78662,12084.0879
617,202,4803.2124,12089.1191
618,211,4806.81885,12093.5635
619,206,4809.79395,12097.8018
620,189,4813.09033,12102.1475
621,171,4817.50488,12106.8682
622,201,4823.07959,12111.9805
623,228,4826.63135,12116.4268
624,223,4828.39258,12120.2627
625,205,4830.47754,12124.2119
626,193,4833.71338,12128.542
627,182,4837.71436,12133.1475
628,192,4842.39062,12137.9902
629,201,4846.3877,12142.6016
630,208,4849.78467,12147.0049
631,195,4852.72559,12151.2529
632,182,4856.45898,12155.7832
633,186,4860.96924,12160.5938
634,201,4865.19971,12165.3154
635,202,4868.48047,12169.6973
636,193,4871.67676,12174.0488
637,190,4875.3999,12178.6016
638,201,4879.26318,12183.2002
639,216,4882.4541,12187.5625
640,228,4884.74658,12191.5967
641,225,4886.32617,12195.3672
642,215,4888.0708,12199.1875
643,187,4890.39795,12203.2354
644,164,4894.32422,12207.875
645,166,4899.54102,12213.0059
646,201,4904.59326,12218.0928
647,223,4907.62012,12222.4121
648,228,4909.40576,12226.2598
649,219,4910.90527,12229.9932
650,206,4912.89648,12233.9111
651,180,4915.59814,12238.1094
652,148,4919.71338,12242.8672
653,109,4925.52686,12248.2803
654,75,4933.3501,12254.418
655,70,4942.83643,12261.1045
656,78,4952.37549,12267.8525
657,91,4961.30859,12274.4775
658,91,4970.03467,12281.0771
659,108,4977.96436,12287.4766
660,99,4984.92529,12293.5752
661,87,4992.18213,12299.8174
662,81,4999.84326,12306.2363
663,77,5007.63379,12312.75
664,84,5015.4292,12319.3057
665,88,5022.75049,12325.7383
666,9,5029.75391,12332.0977
667,9,5036.62354,12338.4531
668,9,5043.35547,12344.7979
669,0,5053.08252,12352.1191
670,0,5062.84668,12359.4932
671,0,5072.32959,12366.8682
672,0,5081.50244,12374.2139
673,0,5090.41943,12381.5664
674,0,5099.03613,12388.8828
675,0,5107.40381,12396.1992
676,0,5115.48975,12403.4795
677,0,5123.3501,12410.7676
678,0,5130.96045,12418.0342
679,0,5138.33643,12425.2861
680,0,5145.48486,12432.5234
681,0,5152.4126,12439.7471
682,0,5159.12646,12446.9561
683,0,5165.63965,12454.1582
684,0,5171.93896,12461.332
685,0,5178.0498,12468.499
686,134,5183.97217,12475.6514
687,154,5186.69824,12481.0039
688,213,5188.93799,12485.9688
689,190,5189.85742,12489.748
690,151,5191.27441,12493.9912
691,105,5193.52393,12498.9961
692,109,5196.72754,12504.8057
693,118,5199.79248,12510.5469
694,127,5202.61182,12516.1172
695,144,5205.20508,12521.5283
696,157,5207.41895,12526.625
697,154,5209.34912,12531.4756
698,130,5211.31299,12536.3711
699,103,5213.71387,12541.6992
700,98,5216.58643,12547.4658
701,104,5219.50488,12553.3135
702,117,5222.25293,12559.0459
703,117,5224.71826,12564.5576
704,105,5227.14746,12570.0723
705,93,5229.74121,12575.7676
706,81,5232.49121,12581.6387
707,64,5235.38965,12587.6797
708,61,5238.49805,12593.9258
709,1,5241.58496,12600.2041
710,0,5245.53516,12607.0967
711,0,5249.37402,12613.9766
712,0,5253.08984,12620.8359
713,0,5256.69775,12627.6963
714,0,5260.18604,12634.5293
715,0,5263.56934,12641.3555
716,0,5266.84766,12648.168
717,0,5270.02686,12654.9736
718,0,5273.10107,12661.7529
719,0,5276.08252,12668.5254
720,0,5278.96826,12675.2783
721,0,5281.77246,12682.0381
741,,5281.77246,12682.0381
742,437,5323.70264,12818.9883
743,307,5071.84717,12765.7441
744,237,4980.25098,12687.8174
745,205,4981.11182,12690.9395
746,160,4983.49756,12694.6611
747,140,4988.00342,12699.2246
748,165,4993.38965,12704.1338
749,177,4997.55029,12708.5928
750,165,5001.12012,12712.8281
751,153,5005.19238,12717.2715
752,161,5009.76172,12721.9307
753,206,5013.92432,12726.4443
754,261,5016.06494,12730.1045
755,275,4949.16943,12690.168
756,257,4889.81641,12632.8584
757,229,4848.08301,12579.5156
758,203,4849.74121,12582.8867
759,213,4853.0542,12586.7686
760,218,4855.71094,12590.4463
761,226,4858.04199,12594.0264
762,202,4859.85547,12597.4375
763,171,4863.16504,12601.3193
764,117,4868.37207,12605.7949
765,95,4876.86426,12611.25
766,95,4885.18945,12616.6807
767,180,4894.69922,12622.459
768,177,4899.06152,12626.7354
769,217,4903.56592,12631.0723
770,257,4905.73535,12634.623
771,244,4855.48779,12605.2314
772,244,4856.18018,12608.2949
773,248,4856.87256,12611.3584
774,243,4857.31299,12614.3486
775,259,4858.06592,12617.4229
776,282,4817.82275,12588.6416
777,309,4774.54541,12542.5107
778,309,4726.31543,12476.7793
779,285,4683.65967,12407.9346
780,265,4653.46484,12352.7764
781,242,4632.43262,12310.5645
782,227,4633.59326,12313.9258
783,225,4636.09473,12317.5996
784,241,4638.76367,12321.3076
785,201,4640.00342,12324.6797
786,169,4644.7876,12328.8887
787,31,4652.35059,12333.7578
788,45,4671.84766,12340.8682
789,45,4689.63281,12347.8037
790,0,4706.96826,12354.7266
791,0,4727.46582,12362.0957
792,0,4747.3335,12369.4502
793,0,4766.64746,12376.8125
794,0,4785.31055,12384.1387
795,0,4803.3999,12391.4502
796,0,4820.96729,12398.7617
797,0,4837.99268,12406.0586
798,0,4854.44434,12413.3193
799,0,4870.45264,12420.5947
800,0,4885.90527,12427.8271
801,301,4900.94141,12435.0742
802,261,4828.82129,12397.5176
803,225,4793.40576,12365.583
804,224,4795.50293,12369.2402
805,231,4797.6665,12372.9219
806,219,4799.33398,12376.4531
807,204,4801.82568,12380.2236
808,211,4805.34717,12384.3086
809,197,4808.36133,12388.2363
810,168,4812.31348,12392.4492
811,145,4818.21826,12397.2666
812,174,4825.58447,12402.5156
813,196,4830.94775,12407.1934
814,188,4834.80859,12411.4053
815,181,4839.1709,12415.7861
816,146,4843.94092,12420.2959
817,70,4850.91895,12425.5039
818,70,4857.78516,12430.6895
819,1,4869.33154,12437.1523
820,138,4884.78369,12444.3506
821,265,4891.69629,12449.6748
822,253,4846.49365,12427.1572
823,234,4846.62109,12430.2051
824,222,4847.95801,12433.6221
825,231,4850.05566,12437.2812
826,227,4851.57373,12440.752
827,186,4853.33984,12444.2988
828,167,4857.67773,12448.6768
829,180,4863.15869,12453.4268
830,209,4867.79004,12457.9199
831,229,4870.60205,12461.8135
832,246,4872.18262,12465.3008
833,187,4872.72803,12468.4512
834,162,4876.8418,12472.7754
835,177,4882.42773,12477.5967
836,200,4887.05566,12482.1104
837,192,4890.29785,12486.168
838,190,4893.97656,12490.3711
839,186,4897.75049,12494.6172
840,194,4901.71777,12498.9307
841,186,4905.19971,12503.083
842,166,4909.11328,12507.3945
843,154,4914.10938,12512.0879
844,156,4919.72949,12517.0156
845,151,4925.16064,12521.8887
846,144,4930.80322,12526.8545
847,135,4936.75586,12531.9492
848,125,4943.09277,12537.1904
849,150,4949.87158,12542.6104
850,205,4955.25488,12547.5664
851,240,4957.78369,12551.4404
852,238,4958.53857,12554.6299
853,222,4959.39355,12557.8574
854,190,4961.04492,12561.3818
855,181,4964.29395,12565.5449
856,369,4967.96045,12569.876
857,336,4857.22607,12518.668
858,333,4788.70166,12460.2852
859,323,4732.78174,12394.2188
860,312,4687.92383,12328.6973
861,287,4651.69141,12267.2119
862,243,4627.11914,12220.5938
863,241,4628.19482,12224.0146
864,325,4629.44775,12227.4736
865,439,4588.91797,12162.1357
866,467,4511.73438,12021.2783
867,471,4430.24121,11857.8555
868,425,4351.90479,11688.8125
869,274,4290.82812,11549.1035
870,209,4276.65381,11515.1318
871,148,4282.57666,11520.0381
872,128,4296.25391,11526.458
873,174,4312.31885,11533.3467
